DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
3086229	235	1	1	2	71	6	1	6	1	2	3	5	2552.103785
3086230	235	1	1	1	34	6	1	3	1	2	5	2	3269.114324
3086230	235	1	2	2	41	6	2	3	1	2	5	2	3269.114324
3086230	235	1	3	1	2	 	 	 	 	 	 	 	3269.114324
3086231	235	1	1	1	36	6	1	4	1	2	5	2	2803.453598
3086238	235	1	1	1	32	6	1	2	1	2	6	2	2772.564087
3086238	235	1	2	2	28	6	2	2	1	2	6	3	2772.564087
3086238	235	1	3	1	9	 	 	 	 	 	 	 	2772.564087
3086239	235	1	1	1	59	6	1	3	1	2	3	5	2075.919303
3086239	235	1	2	2	56	6	2	3	1	2	4	1	2075.919303
3086239	235	1	3	2	32	6	3	4	1	2	6	3	2075.919303
3086239	235	1	4	1	10	 	 	 	 	 	 	 	2075.919303
3086239	235	1	5	2	27	6	3	4	1	2	6	3	2075.919303
3086241	235	1	1	1	42	1	1	3	1	2	6	4	524.7645428
3086241	235	1	2	2	32	1	2	3	1	2	6	6	524.7645428
3086241	235	1	3	1	8	 	 	 	 	 	 	 	524.7645428
3086241	235	1	4	2	1	 	 	 	 	 	 	 	524.7645428
3086242	235	1	1	1	43	6	1	3	1	2	5	2	634.9597127
3086242	235	1	2	2	38	6	2	3	1	2	5	2	634.9597127
3086244	235	1	1	1	45	6	1	3	1	2	5	1	1419.289562
3086244	235	1	2	2	50	6	2	3	1	2	4	3	1419.289562
3086244	235	1	3	1	15	6	3	6	1	1	4	4	1419.289562
3086245	235	1	1	1	39	6	1	3	1	2	6	2	621.7386843
3086245	235	1	2	2	43	1	2	3	1	2	6	2	621.7386843
3086245	235	1	3	2	14	6	3	6	1	1	4	3	621.7386843
3086245	235	1	4	2	11	 	 	 	 	 	 	 	621.7386843
3086247	235	1	1	1	38	6	1	2	1	2	3	5	471.658846
3086247	235	1	2	2	50	6	2	2	1	2	5	2	471.658846
3086249	235	1	1	1	65	6	1	4	1	2	6	5	606.6163951
3086250	235	1	1	2	39	6	1	6	1	2	6	4	1382.797151
3086250	235	1	2	1	15	6	3	6	1	1	4	3	1382.797151
