DIRECTORIO;NRO_ENCUESTA;REGION;P4090;P4000;P4031S1;P4031S1A1;P4031S2;P4031S3;P4031S4;P4031S4A1;P4031S5;P70;FEX_P
3086229;233;4;1;2;1;1;1;1;1;2;1;1;2552,10378512258
3086230;233;4;1;2;1;1;1;1;1;2;1;1;3269,1143244641
3086231;233;4;1;2;1;1;1;1;1;3;1;1;2803,45359773072
3086238;233;4;1;2;1;1;1;1;1;3;1;1;2772,56408746484
3086239;233;4;1;2;1;1;1;1;1;2;1;1;2075,9193030664
3086241;233;5;1;1;1;3;2;1;1;3;1;1;524,764542808015
3086242;233;3;1;1;1;2;1;1;1;3;1;1;634,959712702217
3086244;233;3;1;1;1;2;1;1;1;3;1;1;1419,28956174332
3086245;233;3;1;1;1;2;1;1;1;3;1;1;621,738684342121
3086247;233;5;1;2;1;2;2;1;1;3;1;1;471,658846015633
3086249;233;3;1;2;1;2;1;1;1;3;1;1;606,616395075261
3086250;233;3;1;2;1;4;1;1;1;3;1;1;1382,79715105971
3086252;233;3;1;1;1;2;1;1;1;3;1;1;626,49164403573
3086253;233;3;1;2;1;4;1;1;1;3;1;1;1468,00684602175
3086255;233;6;1;1;1;1;2;1;1;2;1;1;174,640888213191
3086256;233;3;1;1;1;3;1;1;1;3;1;1;609,763491778878
3086257;233;3;1;1;1;2;1;1;1;3;1;1;1443,23493730441
3086258;233;3;1;1;1;2;1;1;1;3;1;1;716,023913568511
3086259;233;6;1;1;1;1;1;1;1;2;1;1;188,070576943321
3086261;233;3;1;2;1;4;1;1;1;3;1;1;1539,00790930882
3086263;233;3;1;2;1;4;1;1;1;3;1;1;1413,07087511118
3086265;233;3;1;2;1;4;1;1;1;3;1;1;1436,23123202346
3086268;233;3;1;2;1;2;2;1;1;3;1;1;1428,44250809371
3086269;233;3;1;1;1;2;1;1;1;3;1;1;1458,71623214518
3086270;233;6;1;1;1;1;2;1;1;2;1;2;129,346274535831
3086272;233;3;1;1;1;3;1;1;1;3;1;1;1385,89409489288
3086273;233;3;1;1;1;2;1;1;1;3;1;1;580,036566151253
3086275;233;6;1;2;1;1;2;1;1;2;1;1;181,013097010659
3086276;233;6;1;1;1;1;1;1;1;2;1;1;168,904151568501
3086277;233;3;1;2;1;2;1;1;1;3;1;1;672,629453572267
3086278;233;3;1;1;1;3;1;1;1;3;1;1;1492,34945930093
3086279;233;6;1;1;1;1;2;1;1;2;1;1;179,685645260539
3086280;233;3;1;1;1;2;1;1;1;3;1;1;691,549190598302
3086281;233;6;1;1;1;1;2;1;1;2;1;1;198,668371991758
3086282;233;4;1;1;1;2;1;1;1;3;1;1;1156,88458681075
3086283;233;3;1;1;1;3;1;1;1;3;1;1;640,548413944136
3086284;233;3;1;1;1;3;1;1;1;3;1;1;1426,29326702426
3086285;233;4;1;2;1;2;1;1;1;3;1;1;1038,62624743869
3086286;233;3;1;1;1;3;1;1;1;3;1;1;1409,7095339835
3086289;233;4;1;1;1;1;1;1;1;2;1;1;1186,48359008407
3086291;233;3;1;1;1;2;1;1;1;3;1;1;732,047843290707
3086293;233;5;1;1;1;3;1;1;1;3;1;1;459,87577238743
3086294;233;3;1;1;1;2;1;1;1;3;1;1;621,709039830652
3086296;233;3;1;1;1;3;1;1;1;3;1;1;1382,79715105971
3086298;233;3;1;1;1;2;1;1;1;3;1;1;670,583337763912
3086300;233;6;1;1;1;1;2;1;1;2;1;1;206,007388604725
3086302;233;6;1;1;1;1;2;1;1;2;1;1;202,894565269511
3086304;233;3;1;2;1;3;1;1;1;3;1;1;1561,50710491006
3086305;233;4;1;1;1;2;1;1;1;3;1;1;1047,32922233057
3086306;233;6;1;1;1;1;2;1;1;2;1;1;184,465430487776
3086307;233;3;1;1;1;3;1;1;1;3;1;1;1232,11931872044
3086309;233;1;1;2;1;3;1;1;1;3;1;1;1791,95392175672
3086310;233;5;1;1;1;3;2;1;1;3;1;1;729,455768254991
3086311;233;2;1;2;1;2;1;1;1;3;1;1;1731,49394210938
3086312;233;2;1;1;1;1;1;1;1;3;1;1;1822,34095524139
3086313;233;5;1;1;1;1;1;1;1;3;1;1;1153,11699778254
3086314;233;2;1;2;1;2;1;1;1;3;1;1;1840,43589098234
3086316;233;5;1;1;1;3;1;1;1;3;1;1;763,33014305506
3086317;233;2;1;1;1;1;1;1;1;3;1;1;1659,14567477574
3086320;233;5;1;2;1;3;2;1;1;3;1;1;471,658846015633
3086321;233;2;1;2;1;2;1;1;1;3;1;1;1490,0523135095
3086322;233;5;1;2;1;2;2;1;1;2;1;1;628,738347638026
3086323;233;2;1;1;1;3;1;1;1;3;1;1;1870,7837437014
3086324;233;2;1;2;1;3;1;1;1;3;1;1;2123,76182264987
3086325;233;5;1;2;1;2;2;1;1;2;1;1;492,051427971625
3086329;233;2;1;1;1;2;1;1;1;3;1;1;1232,76566014972
3086330;233;1;1;2;1;3;1;1;1;3;1;1;2147,54377614702
3086331;233;2;1;2;1;2;1;1;1;3;1;1;1157,61913360498
3086332;233;1;1;3;1;1;1;1;1;2;1;1;1945,7961992727
3086334;233;2;1;2;1;2;1;1;1;3;1;1;1753,02311849078
3086335;233;5;1;2;1;2;2;1;1;3;1;1;471,916759810465
3086337;233;2;1;1;1;3;1;1;1;3;1;1;2358,85611595679
3086338;233;2;1;1;1;2;1;1;1;3;1;1;1459,10194921542
3086339;233;2;1;1;1;3;1;1;1;3;1;1;1442,84736935721
3086340;233;2;1;2;1;2;1;1;1;3;1;1;1548,80016293733
3086341;233;1;1;2;1;4;1;1;1;3;1;1;1946,77437711268
3086342;233;5;1;2;1;2;1;1;1;2;1;1;488,773504689096
3086343;233;2;1;2;1;3;1;1;1;3;1;1;1904,26283002013
3086344;233;2;1;2;1;3;1;1;1;3;1;1;1765,43713822766
3086345;233;1;1;2;1;3;1;1;1;3;1;1;2146,36326486883
3086346;233;2;1;2;1;3;1;1;1;3;1;1;2854,24828619647
3086347;233;2;1;1;1;2;1;1;1;3;1;1;1610,48575170836
3086348;233;5;1;1;1;2;2;1;1;3;1;1;516,836811321442
3086349;233;2;1;2;1;3;1;1;1;3;1;1;2096,11641423114
3086350;233;5;1;2;1;2;2;1;1;3;1;1;707,878203406119
3086351;233;2;1;2;1;3;1;1;1;3;1;1;1839,68495092537
3086352;233;6;1;1;1;1;2;1;1;2;1;1;163,336688236841
3086353;233;1;1;2;1;4;1;1;1;2;1;1;1865,27455499934
3086354;233;2;1;1;1;3;1;1;1;3;1;1;1765,43713822766
3086358;233;1;1;2;1;1;1;1;1;3;1;1;2046,98145476625
3086360;233;1;1;2;1;3;1;1;1;2;1;1;1791,95392175672
3086361;233;1;1;1;1;3;1;1;1;3;1;1;2046,98145476625
3086364;233;6;1;1;1;1;2;1;1;2;1;1;187,807828077746
3086365;233;1;1;2;1;1;1;1;1;3;1;1;1881,75868175656
3086366;233;2;1;2;1;3;1;1;1;3;1;1;2484,42393566618
3086367;233;6;1;1;1;1;2;1;1;2;1;1;167,470223637271
3086368;233;1;1;2;1;3;1;1;1;3;1;1;2040,8021180994
3086370;233;2;1;2;1;3;1;1;1;3;1;1;1811,50168849364
3086371;233;6;1;2;1;1;2;1;1;2;1;1;263,312149644433
3086372;233;2;1;1;1;2;1;1;1;3;1;1;1642,15408752116
3086373;233;2;1;1;1;1;1;1;1;3;1;1;1346,89994757185
3086374;233;6;1;1;1;1;2;1;1;2;1;1;220,595007408474
3086375;233;2;1;2;1;2;1;1;1;3;1;1;1639,93354667816
3086376;233;1;1;1;1;3;1;1;1;3;1;1;2052,53785732031
3086377;233;2;1;2;1;1;1;1;1;3;1;1;1455,00471051962
3086378;233;2;1;1;1;2;1;1;1;2;1;1;1279,80993220695
3086380;233;1;1;2;1;3;1;1;1;2;1;1;1846,21205573192
3086381;233;2;1;2;1;1;1;1;1;3;1;1;1819,8915890716
3086383;233;6;1;2;1;1;2;1;1;2;1;1;178,797887667015
3086384;233;2;1;2;1;2;1;1;1;3;1;1;2283,32561429899
3086385;233;2;1;2;1;1;1;1;1;3;1;1;1552,93059596158
3086387;233;6;1;1;1;1;2;1;1;2;1;1;148,260166106434
3086388;233;2;1;2;1;1;1;1;1;3;1;1;1423,84031844605
3086389;233;1;1;2;1;1;1;1;1;3;1;1;2357,66498298301
3086391;233;2;1;2;1;1;1;1;1;3;1;1;1737,86910503094
3086394;233;2;1;2;1;2;1;1;1;3;1;1;1506,07020912782
3086395;233;1;1;2;1;2;1;1;1;3;1;1;2192,66745227439
3086396;233;6;1;1;1;1;2;1;1;2;1;1;155,998847962409
3086397;233;2;1;2;1;1;1;1;1;3;1;1;1948,6264898639
3086398;233;2;1;2;1;1;1;2;1;3;1;1;2190,92057406082
